group_id,resolved_gate,confidence,rationale
199,Gate 7,0.9,content inference: collapse/loss/grief
240,Gate 3,1.0,fallback chosen from record 6760 by score
246,Gate 7,0.9,content inference: collapse/loss/grief
255,Gate 3,1.0,fallback chosen from record 6664 by score
280,Gate 7,1.0,fallback chosen from record 7519 by score
288,Gate 7,0.9,emotion bias: grief
509,Gate 7,0.9,content inference: collapse/loss/grief
527,Gate 7,0.9,content inference: collapse/loss/grief
686,Gate 7,0.9,content inference: collapse/loss/grief
713,Gate 7,0.9,content inference: collapse/loss/grief
722,Gate 3,0.9,emotion bias: longing
810,Gate 7,0.9,content inference: collapse/loss/grief
812,Gate 7,0.9,content inference: collapse/loss/grief
816,Gate 3,1.0,fallback chosen from record 7408 by score
823,Gate 7,0.9,emotion bias: grief
846,Gate 7,1.0,fallback chosen from record 5475 by score
1071,Gate 7,0.9,emotion bias: grief
1085,Gate 7,0.9,content inference: collapse/loss/grief
1157,Gate 7,0.9,content inference: collapse/loss/grief
1173,Gate 7,0.9,content inference: collapse/loss/grief
1206,Gate 7,0.9,emotion bias: grief
1208,Gate 8,1.0,fallback chosen from record 8291 by score
1220,Gate 7,1.0,fallback chosen from record 8307 by score
1257,Gate 7,0.9,emotion bias: grief
1290,Gate 7,1.0,fallback chosen from record 8420 by score
1305,Gate 8,1.0,fallback chosen from record 8462 by score
