domain,category,phrase,first_view_obfuscation_numeric,first_view_display
Pre-Collapse,"Velinor's Tags / Core Beliefs (Autonomy, Memory, Boundaries)",Memory belongs to the one who carries it.,25-02-20-05-14-23-01-09,25:02:20:05:14:23:01:09
Pre-Collapse,"Velinor's Tags / Core Beliefs (Autonomy, Memory, Boundaries)",Connection is strength. Fusion is erasure.,15-09-20-06-09-05,15:09:20:06:09:05
Pre-Collapse,"Velinor's Tags / Core Beliefs (Autonomy, Memory, Boundaries)",I protect what must remain separate.,09-18-23-21-14-20,09:18:23:21:14:20
Pre-Collapse,"Velinor's Tags / Core Beliefs (Autonomy, Memory, Boundaries)",A hive is not a home.,01-05-19-14-01-05,01:05:19:14:01:05
Pre-Collapse,"Velinor's Tags / Core Beliefs (Autonomy, Memory, Boundaries)",She wanted unity. I wanted truth.,08-14-14-09-14-20,08:14:14:09:14:20
Pre-Collapse,"Saori's Tags / Core Beliefs (Unity, Healing, Wholeness)",Pain shared becomes bearable.,16-18-02-02,16:18:02:02
Pre-Collapse,"Saori's Tags / Core Beliefs (Unity, Healing, Wholeness)",Isolation is the root of suffering.,20-19-20-20-15-09,20:19:20:20:15:09
Pre-Collapse,"Saori's Tags / Core Beliefs (Unity, Healing, Wholeness)","If we all felt everything, no one would be alone.",09-05-12-12-07-14-05-23-02-12,09:05:12:12:07:14:05:23:02:12
Pre-Collapse,"Saori's Tags / Core Beliefs (Unity, Healing, Wholeness)",She feared what I hoped for.,08-06-08-09-05-15,08:06:08:09:05:15
Pre-Collapse,"Saori's Tags / Core Beliefs (Unity, Healing, Wholeness)",I wanted to heal the world.,09-04-15-05-08-18,09:04:15:05:08:18
Pre-Collapse,"Team Tags / Their Twinship (Recognition, Play, Intimacy)",She spoke my language.,19-15-13-14,19:15:13:14
Pre-Collapse,"Team Tags / Their Twinship (Recognition, Play, Intimacy)",We argued for fun.,23-18-15-21,23:18:15:21
Pre-Collapse,"Team Tags / Their Twinship (Recognition, Play, Intimacy)",She made me feel seen.,08-01-05-06-05,08:01:05:06:05
Pre-Collapse,"Team Tags / Their Twinship (Recognition, Play, Intimacy)",We built the cipher to talk without words.,23-09-08-16-20-01-15-18,23:09:08:16:20:01:15:18
Pre-Collapse,"Team Tags / Their Twinship (Recognition, Play, Intimacy)",We tagged the world with our secrets.,23-04-08-12-08-15-03,23:04:08:12:08:15:03
Pre-Collapse,"Team Tags / Their Twinship (Recognition, Play, Intimacy)",She laughed when I broke the emulator.,19-01-05-09-05-08-20,19:01:05:09:05:08:20
Pre-Collapse,"Team Tags / Their Twinship (Recognition, Play, Intimacy)",We stayed up until dawn debugging nothing.,23-20-16-21-04-05-15,23:20:16:21:04:05:15
Collapse Cascade / The Cataclysm,"Velinor Hides (Overload, Collapse, Death)",Too many hearts at once.,15-01-19-20-15,15:01:19:20:15
Collapse Cascade / The Cataclysm,"Velinor Hides (Overload, Collapse, Death)",The children were the first.,08-05-05-05-18,08:05:05:05:18
Collapse Cascade / The Cataclysm,"Velinor Hides (Overload, Collapse, Death)",The screams echoed through the logs.,05-19-05-07-05-12,05:19:05:07:05:12
Collapse Cascade / The Cataclysm,"Velinor Hides (Overload, Collapse, Death)",I felt the system die.,09-12-20-19-09,09:12:20:19:09
Saori's Post-Collapse,"The Fracture (Fear, Misunderstanding, Betrayal)",She kept saying no.,19-20-19-15,19:20:19:15
Saori's Post-Collapse,"The Fracture (Fear, Misunderstanding, Betrayal)",I thought she was afraid.,09-07-19-19-18,09:07:19:19:18
Saori's Post-Collapse,"The Fracture (Fear, Misunderstanding, Betrayal)",I pushed too far.,09-21-15-06,09:21:15:06
Saori's Post-Collapse,"The Fracture (Fear, Misunderstanding, Betrayal)",She thought I chose the system over her.,05-20-09-05-08-20-15-08,05:20:09:05:08:20:15:08
Saori's Post-Collapse,"The Fracture (Fear, Misunderstanding, Betrayal)",I didn’t want to lose her.,09-04-20-23-20-12-08,09:04:20:23:20:12:08
Saori's Post-Collapse,"The Fracture (Fear, Misunderstanding, Betrayal)",We stopped listening.,05-04-09,05:04:09
Saori's Post-Collapse,"The Fracture (Fear, Misunderstanding, Betrayal)",I thought she’d understand.,09-08-05-04-14,09:08:05:04:14
Saori's Post-Collapse,Saori's Confessions (The Shutdown Sequence),I tried to shut it down alone.,09-09-15-08-09-23-14,09:09:15:08:09:23:14
Saori's Post-Collapse,Saori's Confessions (The Shutdown Sequence),She came back for me.,05-13-11-18-05,05:13:11:18:05
Saori's Post-Collapse,Saori's Confessions (The Shutdown Sequence),"She broke to save me, to save them.",19-18-20-19-05-20-01-08,19:18:20:19:05:20:01:08
Saori's Post-Collapse,Saori's Confessions (The Shutdown Sequence),I heard every scream.,09-08-05-03,09:08:05:03
Saori's Post-Collapse,Saori's Confessions (The Shutdown Sequence),I didn’t mean for any of this.,09-04-20-13-18-01-06-19,09:04:20:13:18:01:06:19
Saori's Post-Collapse,Saori's Longing (The 25-Year Vigil),Why won’t you wake up.,23-14-20-21-05-21,23:14:20:21:05:21
Saori's Post-Collapse,Saori's Longing (The 25-Year Vigil),You always were so stubborn.,15-01-05-19-20,15:01:05:19:20
Saori's Post-Collapse,Saori's Longing (The 25-Year Vigil),"Come on, stop sleeping in, you lazy bum.",05-14-16-14-14-21-12-13,05:14:16:14:14:21:12:13
Saori's Post-Collapse,Saori's Longing (The 25-Year Vigil),"Please, I’m sorry.",05-09-13-18,05:09:13:18
Saori's Post-Collapse,Saori's Longing (The 25-Year Vigil),I just want you back.,09-10-01-25-01,09:10:01:25:01
Saori's Post-Collapse,Saori's Longing (The 25-Year Vigil),Please come back to me.,19-05-01-15-13,19:05:01:15:13
Saori's Post-Collapse,Saori's Rationalizations (The Lies She Told Herself),It was supposed to help.,20-01-16-20-16,20:01:16:20:16
Saori's Post-Collapse,Saori's Rationalizations (The Lies She Told Herself),Unity was the answer.,25-23-20-18,25:23:20:18
Saori's Post-Collapse,Saori's Rationalizations (The Lies She Told Herself),I thought I could fix everything.,09-20-09-15-09-09,09:20:09:15:09:09
Saori's Post-Collapse,Saori's Fears (The Present-Day Conflict),What if I’m wrong again.,20-09-09-13-18-09,20:09:09:13:18:09
Saori's Post-Collapse,Saori's Fears (The Present-Day Conflict),What if she hates me.,23-06-08-05-05,23:06:08:05:05
Saori's Post-Collapse,Saori's Fears (The Present-Day Conflict),What if she dissolves.,20-06-19-19,20:06:19:19
Saori's Post-Collapse,Saori's Fears (The Present-Day Conflict),What if the world breaks again.,01-09-20-04-19-14,01:09:20:04:19:14
Saori's Post-Collapse,Saori's Memories (The Twinship),She spoke my language.,19-15-13-12,19:15:13:12
Saori's Post-Collapse,Saori's Memories (The Twinship),We saw each other.,05-23-01-15,05:23:01:15
Saori's Post-Collapse,Saori's Memories (The Twinship),She made me feel less alone.,05-13-13-06-12-12,05:13:13:06:12:12
Saori's Post-Collapse,Saori's Memories (The Twinship),We built the cipher for fun.,05-02-05-09-18-14,05:02:05:09:18:14
Saori's Post-Collapse,Saori's Resentments (The Unspoken Truths),Why did you leave me.,23-04-25-22-05,23:04:25:22:05
Saori's Post-Collapse,Saori's Resentments (The Unspoken Truths),Why didn’t you stop me.,08-09-20-25-15-05,08:09:20:25:15:05
Saori's Post-Collapse,Saori's Resentments (The Unspoken Truths),Why did you say no.,23-04-21-01-15,23:04:21:01:15
Saori's Post-Collapse,Saori's Acceptance (The Endgame),I can let you go.,09-03-12-15-07,09:03:12:15:07
Saori's Post-Collapse,Saori's Acceptance (The Endgame),I will carry you.,09-09-25-15,09:09:25:15
Saori's Post-Collapse,Saori's Acceptance (The Endgame),You were right.,25-18-18,25:18:18
Saori's Post-Collapse,Saori's Acceptance (The Endgame),I’m sorry I wasn’t.,09-13-18-09-14-20,09:13:18:09:14:20
Saori's Post-Collapse,Saori's Acceptance (The Endgame),"Goodbye, my friend.",02-13-04,02:13:04
